arrival_time,job,operation,process,machine,capacity,processing_time,weight
0.0,J21,O1,P1,M3,1,82.0,8.0
0.0,J21,O1,P1,M4,1,33.0,8.0
0.0,J21,O1,P1,M5,1,46.0,8.0
0.0,J22,O1,P1,M1,1,77.0,22.0
0.0,J22,O1,P1,M2,1,65.0,22.0
0.0,J22,O1,P1,M3,1,62.0,22.0
0.0,J22,O1,P1,M4,1,14.0,22.0
0.0,J22,O1,P1,M5,1,24.0,22.0
0.0,J23,O1,P1,M1,1,61.0,47.0
0.0,J23,O1,P1,M2,1,12.0,47.0
0.0,J23,O1,P1,M3,1,73.0,47.0
0.0,J23,O1,P1,M4,1,41.0,47.0
0.0,J23,O1,P1,M5,1,81.0,47.0
0.0,J24,O1,P1,M1,1,24.0,82.0
0.0,J24,O1,P1,M2,1,69.0,82.0
0.0,J24,O1,P1,M3,1,43.0,82.0
0.0,J24,O1,P1,M4,1,98.0,82.0
0.0,J24,O1,P1,M5,1,70.0,82.0
0.0,J25,O1,P1,M1,1,18.0,97.0
0.0,J25,O1,P1,M2,1,79.0,97.0
0.0,J25,O1,P1,M3,1,55.0,97.0
0.0,J25,O1,P1,M4,1,81.0,97.0
0.0,J25,O1,P1,M5,1,23.0,97.0
0.0,J26,O1,P1,M1,1,22.0,11.0
0.0,J26,O1,P1,M2,1,66.0,11.0
0.0,J26,O1,P1,M3,1,81.0,11.0
0.0,J26,O1,P1,M4,1,51.0,11.0
0.0,J26,O1,P1,M5,1,23.0,11.0
0.0,J27,O1,P1,M1,1,17.0,44.0
0.0,J27,O1,P1,M2,1,67.0,44.0
0.0,J27,O1,P1,M3,1,94.0,44.0
0.0,J27,O1,P1,M4,1,82.0,44.0
0.0,J27,O1,P1,M5,1,17.0,44.0
0.0,J28,O1,P1,M1,1,38.0,23.0
0.0,J28,O1,P1,M2,1,75.0,23.0
0.0,J28,O1,P1,M3,1,78.0,23.0
0.0,J28,O1,P1,M4,1,65.0,23.0
0.0,J28,O1,P1,M5,1,30.0,23.0
0.0,J29,O1,P1,M1,1,61.0,34.0
0.0,J29,O1,P1,M2,1,12.0,34.0
0.0,J29,O1,P1,M3,1,58.0,34.0
0.0,J29,O1,P1,M4,1,43.0,34.0
0.0,J29,O1,P1,M5,1,13.0,34.0
0.0,J30,O1,P1,M1,1,75.0,58.0
0.0,J30,O1,P1,M2,1,92.0,58.0
0.0,J30,O1,P1,M3,1,37.0,58.0
0.0,J30,O1,P1,M4,1,47.0,58.0
0.0,J30,O1,P1,M5,1,28.0,58.0
0.0,J31,O1,P1,M1,1,26.0,99.0
0.0,J31,O1,P1,M2,1,61.0,99.0
0.0,J31,O1,P1,M3,1,37.0,99.0
0.0,J31,O1,P1,M4,1,53.0,99.0
0.0,J31,O1,P1,M5,1,34.0,99.0
0.0,J32,O1,P1,M1,1,72.0,39.0
0.0,J32,O1,P1,M2,1,35.0,39.0
0.0,J32,O1,P1,M3,1,87.0,39.0
0.0,J32,O1,P1,M4,1,31.0,39.0
0.0,J32,O1,P1,M5,1,55.0,39.0
0.0,J33,O1,P1,M1,1,45.0,17.0
0.0,J33,O1,P1,M2,1,78.0,17.0
0.0,J33,O1,P1,M3,1,81.0,17.0
0.0,J33,O1,P1,M4,1,69.0,17.0
0.0,J33,O1,P1,M5,1,99.0,17.0
0.0,J34,O1,P1,M1,1,38.0,52.0
0.0,J34,O1,P1,M2,1,78.0,52.0
0.0,J34,O1,P1,M3,1,19.0,52.0
0.0,J34,O1,P1,M4,1,19.0,52.0
0.0,J34,O1,P1,M5,1,93.0,52.0
0.0,J35,O1,P1,M1,1,26.0,82.0
0.0,J35,O1,P1,M2,1,69.0,82.0
0.0,J35,O1,P1,M3,1,65.0,82.0
0.0,J35,O1,P1,M4,1,84.0,82.0
0.0,J35,O1,P1,M5,1,77.0,82.0
0.0,J36,O1,P1,M1,1,27.0,56.0
0.0,J36,O1,P1,M2,1,73.0,56.0
0.0,J36,O1,P1,M3,1,39.0,56.0
0.0,J36,O1,P1,M4,1,59.0,56.0
0.0,J36,O1,P1,M5,1,52.0,56.0
0.0,J37,O1,P1,M1,1,28.0,95.0
0.0,J37,O1,P1,M2,1,63.0,95.0
0.0,J37,O1,P1,M3,1,17.0,95.0
0.0,J37,O1,P1,M4,1,60.0,95.0
0.0,J37,O1,P1,M5,1,72.0,95.0
0.0,J38,O1,P1,M1,1,60.0,15.0
0.0,J38,O1,P1,M2,1,63.0,15.0
0.0,J38,O1,P1,M3,1,94.0,15.0
0.0,J38,O1,P1,M4,1,74.0,15.0
0.0,J38,O1,P1,M5,1,92.0,15.0
0.0,J39,O1,P1,M1,1,86.0,17.0
0.0,J39,O1,P1,M2,1,62.0,17.0
0.0,J39,O1,P1,M3,1,72.0,17.0
0.0,J39,O1,P1,M4,1,27.0,17.0
0.0,J39,O1,P1,M5,1,91.0,17.0
0.0,J40,O1,P1,M1,1,78.0,77.0
0.0,J40,O1,P1,M2,1,34.0,77.0
0.0,J40,O1,P1,M3,1,65.0,77.0
0.0,J40,O1,P1,M4,1,90.0,77.0
0.0,J40,O1,P1,M5,1,33.0,77.0
0.0,J41,O1,P1,M1,1,96.0,44.0
0.0,J41,O1,P1,M2,1,66.0,44.0
0.0,J41,O1,P1,M3,1,38.0,44.0
0.0,J41,O1,P1,M4,1,80.0,44.0
0.0,J41,O1,P1,M5,1,38.0,44.0
0.0,J42,O1,P1,M1,1,86.0,1.0
0.0,J42,O1,P1,M2,1,83.0,1.0
0.0,J42,O1,P1,M3,1,54.0,1.0
0.0,J42,O1,P1,M4,1,37.0,1.0
0.0,J42,O1,P1,M5,1,21.0,1.0
0.0,J43,O1,P1,M1,1,40.0,37.0
0.0,J43,O1,P1,M2,1,84.0,37.0
0.0,J43,O1,P1,M3,1,49.0,37.0
0.0,J43,O1,P1,M4,1,89.0,37.0
0.0,J43,O1,P1,M5,1,25.0,37.0
0.0,J44,O1,P1,M1,1,71.0,81.0
0.0,J44,O1,P1,M2,1,52.0,81.0
0.0,J44,O1,P1,M3,1,87.0,81.0
0.0,J44,O1,P1,M4,1,74.0,81.0
0.0,J44,O1,P1,M5,1,77.0,81.0
0.0,J45,O1,P1,M1,1,40.0,2.0
0.0,J45,O1,P1,M2,1,16.0,2.0
0.0,J45,O1,P1,M3,1,47.0,2.0
0.0,J45,O1,P1,M4,1,99.0,2.0
0.0,J45,O1,P1,M5,1,36.0,2.0
0.0,J46,O1,P1,M1,1,37.0,76.0
0.0,J46,O1,P1,M2,1,41.0,76.0
0.0,J46,O1,P1,M3,1,85.0,76.0
0.0,J46,O1,P1,M4,1,50.0,76.0
0.0,J46,O1,P1,M5,1,68.0,76.0
0.0,J47,O1,P1,M1,1,91.0,49.0
0.0,J47,O1,P1,M2,1,47.0,49.0
0.0,J47,O1,P1,M3,1,62.0,49.0
0.0,J47,O1,P1,M4,1,59.0,49.0
0.0,J47,O1,P1,M5,1,51.0,49.0
0.0,J48,O1,P1,M1,1,30.0,16.0
0.0,J48,O1,P1,M2,1,93.0,16.0
0.0,J48,O1,P1,M3,1,98.0,16.0
0.0,J48,O1,P1,M4,1,26.0,16.0
0.0,J48,O1,P1,M5,1,48.0,16.0
0.0,J49,O1,P1,M1,1,25.0,39.0
0.0,J49,O1,P1,M2,1,72.0,39.0
0.0,J49,O1,P1,M3,1,90.0,39.0
0.0,J49,O1,P1,M4,1,62.0,39.0
0.0,J49,O1,P1,M5,1,43.0,39.0
0.0,J50,O1,P1,M1,1,41.0,89.0
0.0,J50,O1,P1,M2,1,34.0,89.0
0.0,J50,O1,P1,M3,1,68.0,89.0
0.0,J50,O1,P1,M4,1,96.0,89.0
0.0,J50,O1,P1,M5,1,84.0,89.0
0.0,J51,O1,P1,M1,1,39.0,45.0
0.0,J51,O1,P1,M2,1,74.0,45.0
0.0,J51,O1,P1,M3,1,90.0,45.0
0.0,J51,O1,P1,M4,1,65.0,45.0
0.0,J51,O1,P1,M5,1,44.0,45.0
0.0,J52,O1,P1,M1,1,46.0,85.0
0.0,J52,O1,P1,M2,1,14.0,85.0
0.0,J52,O1,P1,M3,1,13.0,85.0
0.0,J52,O1,P1,M4,1,42.0,85.0
0.0,J52,O1,P1,M5,1,59.0,85.0
0.0,J53,O1,P1,M1,1,74.0,18.0
0.0,J53,O1,P1,M2,1,41.0,18.0
0.0,J53,O1,P1,M3,1,48.0,18.0
0.0,J53,O1,P1,M4,1,42.0,18.0
0.0,J53,O1,P1,M5,1,73.0,18.0
0.0,J54,O1,P1,M1,1,78.0,86.0
0.0,J54,O1,P1,M2,1,74.0,86.0
0.0,J54,O1,P1,M3,1,86.0,86.0
0.0,J54,O1,P1,M4,1,96.0,86.0
0.0,J54,O1,P1,M5,1,33.0,86.0
0.0,J55,O1,P1,M1,1,85.0,18.0
0.0,J55,O1,P1,M2,1,89.0,18.0
0.0,J55,O1,P1,M3,1,73.0,18.0
0.0,J55,O1,P1,M4,1,55.0,18.0
0.0,J55,O1,P1,M5,1,35.0,18.0
0.0,J56,O1,P1,M1,1,88.0,14.0
0.0,J56,O1,P1,M2,1,25.0,14.0
0.0,J56,O1,P1,M3,1,83.0,14.0
0.0,J56,O1,P1,M4,1,24.0,14.0
0.0,J56,O1,P1,M5,1,79.0,14.0
0.0,J57,O1,P1,M1,1,39.0,26.0
0.0,J57,O1,P1,M2,1,55.0,26.0
0.0,J57,O1,P1,M3,1,67.0,26.0
0.0,J57,O1,P1,M4,1,12.0,26.0
0.0,J57,O1,P1,M5,1,36.0,26.0
0.0,J58,O1,P1,M1,1,79.0,28.0
0.0,J58,O1,P1,M2,1,15.0,28.0
0.0,J58,O1,P1,M3,1,52.0,28.0
0.0,J58,O1,P1,M4,1,66.0,28.0
0.0,J58,O1,P1,M5,1,77.0,28.0
0.0,J59,O1,P1,M1,1,17.0,15.0
0.0,J59,O1,P1,M2,1,19.0,15.0
0.0,J59,O1,P1,M3,1,47.0,15.0
0.0,J59,O1,P1,M4,1,27.0,15.0
0.0,J59,O1,P1,M5,1,77.0,15.0
0.0,J60,O1,P1,M1,1,82.0,33.0
0.0,J60,O1,P1,M2,1,98.0,33.0
0.0,J60,O1,P1,M3,1,81.0,33.0
0.0,J60,O1,P1,M4,1,96.0,33.0
0.0,J60,O1,P1,M5,1,99.0,33.0
0.0,J61,O1,P1,M1,1,70.0,83.0
0.0,J61,O1,P1,M2,1,55.0,83.0
0.0,J61,O1,P1,M3,1,45.0,83.0
0.0,J61,O1,P1,M4,1,28.0,83.0
0.0,J61,O1,P1,M5,1,17.0,83.0
0.0,J62,O1,P1,M1,1,16.0,62.0
0.0,J62,O1,P1,M2,1,82.0,62.0
0.0,J62,O1,P1,M3,1,31.0,62.0
0.0,J62,O1,P1,M4,1,76.0,62.0
0.0,J62,O1,P1,M5,1,86.0,62.0
0.0,J63,O1,P1,M1,1,79.0,8.0
0.0,J63,O1,P1,M2,1,56.0,8.0
0.0,J63,O1,P1,M3,1,40.0,8.0
0.0,J63,O1,P1,M4,1,72.0,8.0
0.0,J63,O1,P1,M5,1,57.0,8.0
0.0,J64,O1,P1,M1,1,20.0,34.0
0.0,J64,O1,P1,M2,1,97.0,34.0
0.0,J64,O1,P1,M3,1,55.0,34.0
0.0,J64,O1,P1,M4,1,53.0,34.0
0.0,J64,O1,P1,M5,1,20.0,34.0
0.0,J65,O1,P1,M1,1,78.0,91.0
0.0,J65,O1,P1,M2,1,34.0,91.0
0.0,J65,O1,P1,M3,1,84.0,91.0
0.0,J65,O1,P1,M4,1,32.0,91.0
0.0,J65,O1,P1,M5,1,87.0,91.0
0.0,J66,O1,P1,M1,1,24.0,83.0
0.0,J66,O1,P1,M2,1,83.0,83.0
0.0,J66,O1,P1,M3,1,30.0,83.0
0.0,J66,O1,P1,M4,1,89.0,83.0
0.0,J66,O1,P1,M5,1,21.0,83.0
0.0,J67,O1,P1,M1,1,23.0,45.0
0.0,J67,O1,P1,M2,1,64.0,45.0
0.0,J67,O1,P1,M3,1,22.0,45.0
0.0,J67,O1,P1,M4,1,72.0,45.0
0.0,J67,O1,P1,M5,1,93.0,45.0
0.0,J68,O1,P1,M1,1,88.0,45.0
0.0,J68,O1,P1,M2,1,45.0,45.0
0.0,J68,O1,P1,M3,1,62.0,45.0
0.0,J68,O1,P1,M4,1,66.0,45.0
0.0,J68,O1,P1,M5,1,79.0,45.0
0.0,J69,O1,P1,M1,1,65.0,49.0
0.0,J69,O1,P1,M2,1,78.0,49.0
0.0,J69,O1,P1,M3,1,43.0,49.0
0.0,J69,O1,P1,M4,1,35.0,49.0
0.0,J69,O1,P1,M5,1,75.0,49.0
0.0,J70,O1,P1,M1,1,83.0,62.0
0.0,J70,O1,P1,M2,1,74.0,62.0
0.0,J70,O1,P1,M3,1,28.0,62.0
0.0,J70,O1,P1,M4,1,61.0,62.0
0.0,J70,O1,P1,M5,1,70.0,62.0
0.0,J71,O1,P1,M1,1,82.0,24.0
0.0,J71,O1,P1,M2,1,63.0,24.0
0.0,J71,O1,P1,M3,1,53.0,24.0
0.0,J71,O1,P1,M4,1,57.0,24.0
0.0,J71,O1,P1,M5,1,100.0,24.0
0.0,J72,O1,P1,M1,1,14.0,27.0
0.0,J72,O1,P1,M2,1,46.0,27.0
0.0,J72,O1,P1,M3,1,71.0,27.0
0.0,J72,O1,P1,M4,1,16.0,27.0
0.0,J72,O1,P1,M5,1,51.0,27.0
0.0,J73,O1,P1,M1,1,85.0,39.0
0.0,J73,O1,P1,M2,1,89.0,39.0
0.0,J73,O1,P1,M3,1,30.0,39.0
0.0,J73,O1,P1,M4,1,58.0,39.0
0.0,J73,O1,P1,M5,1,43.0,39.0
0.0,J74,O1,P1,M1,1,21.0,71.0
0.0,J74,O1,P1,M2,1,77.0,71.0
0.0,J74,O1,P1,M3,1,50.0,71.0
0.0,J74,O1,P1,M4,1,47.0,71.0
0.0,J74,O1,P1,M5,1,97.0,71.0
0.0,J75,O1,P1,M1,1,30.0,7.0
0.0,J75,O1,P1,M2,1,28.0,7.0
0.0,J75,O1,P1,M3,1,68.0,7.0
0.0,J75,O1,P1,M4,1,82.0,7.0
0.0,J75,O1,P1,M5,1,58.0,7.0
0.0,J76,O1,P1,M1,1,99.0,14.0
0.0,J76,O1,P1,M2,1,42.0,14.0
0.0,J76,O1,P1,M3,1,41.0,14.0
0.0,J76,O1,P1,M4,1,41.0,14.0
0.0,J76,O1,P1,M5,1,47.0,14.0
0.0,J77,O1,P1,M1,1,10.0,100.0
0.0,J77,O1,P1,M2,1,68.0,100.0
0.0,J77,O1,P1,M3,1,22.0,100.0
0.0,J77,O1,P1,M4,1,90.0,100.0
0.0,J77,O1,P1,M5,1,24.0,100.0
0.0,J78,O1,P1,M1,1,22.0,78.0
0.0,J78,O1,P1,M2,1,75.0,78.0
0.0,J78,O1,P1,M3,1,83.0,78.0
0.0,J78,O1,P1,M4,1,28.0,78.0
0.0,J78,O1,P1,M5,1,84.0,78.0
0.0,J79,O1,P1,M1,1,66.0,73.0
0.0,J79,O1,P1,M2,1,34.0,73.0
0.0,J79,O1,P1,M3,1,33.0,73.0
0.0,J79,O1,P1,M4,1,13.0,73.0
0.0,J79,O1,P1,M5,1,66.0,73.0
0.0,J80,O1,P1,M1,1,49.0,63.0
0.0,J80,O1,P1,M2,1,10.0,63.0
0.0,J80,O1,P1,M3,1,99.0,63.0
0.0,J80,O1,P1,M4,1,41.0,63.0
0.0,J80,O1,P1,M5,1,46.0,63.0
0.0,J81,O1,P1,M1,1,51.0,87.0
0.0,J81,O1,P1,M2,1,23.0,87.0
0.0,J81,O1,P1,M3,1,52.0,87.0
0.0,J81,O1,P1,M4,1,97.0,87.0
0.0,J81,O1,P1,M5,1,24.0,87.0
0.0,J82,O1,P1,M1,1,41.0,26.0
0.0,J82,O1,P1,M2,1,93.0,26.0
0.0,J82,O1,P1,M3,1,84.0,26.0
0.0,J82,O1,P1,M4,1,91.0,26.0
0.0,J82,O1,P1,M5,1,51.0,26.0
0.0,J83,O1,P1,M1,1,73.0,91.0
0.0,J83,O1,P1,M2,1,89.0,91.0
0.0,J83,O1,P1,M3,1,35.0,91.0
0.0,J83,O1,P1,M4,1,23.0,91.0
0.0,J83,O1,P1,M5,1,53.0,91.0
0.0,J84,O1,P1,M1,1,50.0,94.0
0.0,J84,O1,P1,M2,1,67.0,94.0
0.0,J84,O1,P1,M3,1,24.0,94.0
0.0,J84,O1,P1,M4,1,51.0,94.0
0.0,J84,O1,P1,M5,1,48.0,94.0
0.0,J85,O1,P1,M1,1,34.0,28.0
0.0,J85,O1,P1,M2,1,89.0,28.0
0.0,J85,O1,P1,M3,1,93.0,28.0
0.0,J85,O1,P1,M4,1,96.0,28.0
0.0,J85,O1,P1,M5,1,25.0,28.0
0.0,J86,O1,P1,M1,1,12.0,49.0
0.0,J86,O1,P1,M2,1,86.0,49.0
0.0,J86,O1,P1,M3,1,44.0,49.0
0.0,J86,O1,P1,M4,1,24.0,49.0
0.0,J86,O1,P1,M5,1,50.0,49.0
0.0,J87,O1,P1,M1,1,72.0,4.0
0.0,J87,O1,P1,M2,1,89.0,4.0
0.0,J87,O1,P1,M3,1,91.0,4.0
0.0,J87,O1,P1,M4,1,33.0,4.0
0.0,J87,O1,P1,M5,1,40.0,4.0
0.0,J88,O1,P1,M1,1,22.0,43.0
0.0,J88,O1,P1,M2,1,48.0,43.0
0.0,J88,O1,P1,M3,1,31.0,43.0
0.0,J88,O1,P1,M4,1,81.0,43.0
0.0,J88,O1,P1,M5,1,73.0,43.0
0.0,J89,O1,P1,M1,1,82.0,67.0
0.0,J89,O1,P1,M2,1,27.0,67.0
0.0,J89,O1,P1,M3,1,33.0,67.0
0.0,J89,O1,P1,M4,1,66.0,67.0
0.0,J89,O1,P1,M5,1,15.0,67.0
0.0,J90,O1,P1,M1,1,50.0,39.0
0.0,J90,O1,P1,M2,1,57.0,39.0
0.0,J90,O1,P1,M3,1,84.0,39.0
0.0,J90,O1,P1,M4,1,60.0,39.0
0.0,J90,O1,P1,M5,1,46.0,39.0
0.0,J91,O1,P1,M1,1,91.0,26.0
0.0,J91,O1,P1,M2,1,16.0,26.0
0.0,J91,O1,P1,M3,1,72.0,26.0
0.0,J91,O1,P1,M4,1,84.0,26.0
0.0,J91,O1,P1,M5,1,55.0,26.0
0.0,J92,O1,P1,M1,1,63.0,79.0
0.0,J92,O1,P1,M2,1,82.0,79.0
0.0,J92,O1,P1,M3,1,31.0,79.0
0.0,J92,O1,P1,M4,1,98.0,79.0
0.0,J92,O1,P1,M5,1,49.0,79.0
0.0,J93,O1,P1,M1,1,72.0,54.0
0.0,J93,O1,P1,M2,1,40.0,54.0
0.0,J93,O1,P1,M3,1,25.0,54.0
0.0,J93,O1,P1,M4,1,49.0,54.0
0.0,J93,O1,P1,M5,1,59.0,54.0
0.0,J94,O1,P1,M1,1,73.0,30.0
0.0,J94,O1,P1,M2,1,47.0,30.0
0.0,J94,O1,P1,M3,1,34.0,30.0
0.0,J94,O1,P1,M4,1,80.0,30.0
0.0,J94,O1,P1,M5,1,26.0,30.0
0.0,J95,O1,P1,M1,1,78.0,18.0
0.0,J95,O1,P1,M2,1,49.0,18.0
0.0,J95,O1,P1,M3,1,96.0,18.0
0.0,J95,O1,P1,M4,1,41.0,18.0
0.0,J95,O1,P1,M5,1,74.0,18.0
0.0,J96,O1,P1,M1,1,96.0,47.0
0.0,J96,O1,P1,M2,1,57.0,47.0
0.0,J96,O1,P1,M3,1,88.0,47.0
0.0,J96,O1,P1,M4,1,44.0,47.0
0.0,J96,O1,P1,M5,1,63.0,47.0
0.0,J97,O1,P1,M1,1,63.0,68.0
0.0,J97,O1,P1,M2,1,29.0,68.0
0.0,J97,O1,P1,M3,1,24.0,68.0
0.0,J97,O1,P1,M4,1,20.0,68.0
0.0,J97,O1,P1,M5,1,65.0,68.0
0.0,J98,O1,P1,M1,1,54.0,10.0
0.0,J98,O1,P1,M2,1,43.0,10.0
0.0,J98,O1,P1,M3,1,18.0,10.0
0.0,J98,O1,P1,M4,1,98.0,10.0
0.0,J98,O1,P1,M5,1,82.0,10.0
0.0,J99,O1,P1,M1,1,48.0,83.0
0.0,J99,O1,P1,M2,1,59.0,83.0
0.0,J99,O1,P1,M3,1,72.0,83.0
0.0,J99,O1,P1,M4,1,59.0,83.0
0.0,J99,O1,P1,M5,1,18.0,83.0
0.0,J100,O1,P1,M1,1,97.0,66.0
0.0,J100,O1,P1,M2,1,27.0,66.0
0.0,J100,O1,P1,M3,1,35.0,66.0
0.0,J100,O1,P1,M4,1,79.0,66.0
0.0,J100,O1,P1,M5,1,17.0,66.0
0.0,J101,O1,P1,M1,1,16.0,4.0
0.0,J101,O1,P1,M2,1,92.0,4.0
0.0,J101,O1,P1,M3,1,63.0,4.0
0.0,J101,O1,P1,M4,1,97.0,4.0
0.0,J101,O1,P1,M5,1,20.0,4.0
0.0,J102,O1,P1,M1,1,78.0,70.0
0.0,J102,O1,P1,M2,1,98.0,70.0
0.0,J102,O1,P1,M3,1,72.0,70.0
0.0,J102,O1,P1,M4,1,15.0,70.0
0.0,J102,O1,P1,M5,1,62.0,70.0
0.0,J103,O1,P1,M1,1,90.0,49.0
0.0,J103,O1,P1,M2,1,81.0,49.0
0.0,J103,O1,P1,M3,1,79.0,49.0
0.0,J103,O1,P1,M4,1,40.0,49.0
0.0,J103,O1,P1,M5,1,38.0,49.0
0.0,J104,O1,P1,M1,1,78.0,78.0
0.0,J104,O1,P1,M2,1,23.0,78.0
0.0,J104,O1,P1,M3,1,58.0,78.0
0.0,J104,O1,P1,M4,1,21.0,78.0
0.0,J104,O1,P1,M5,1,32.0,78.0
0.0,J105,O1,P1,M1,1,57.0,88.0
0.0,J105,O1,P1,M2,1,27.0,88.0
0.0,J105,O1,P1,M3,1,54.0,88.0
0.0,J105,O1,P1,M4,1,21.0,88.0
0.0,J105,O1,P1,M5,1,13.0,88.0
0.0,J106,O1,P1,M1,1,62.0,10.0
0.0,J106,O1,P1,M2,1,45.0,10.0
0.0,J106,O1,P1,M3,1,89.0,10.0
0.0,J106,O1,P1,M4,1,66.0,10.0
0.0,J106,O1,P1,M5,1,51.0,10.0
0.0,J107,O1,P1,M1,1,52.0,42.0
0.0,J107,O1,P1,M2,1,71.0,42.0
0.0,J107,O1,P1,M3,1,80.0,42.0
0.0,J107,O1,P1,M4,1,45.0,42.0
0.0,J107,O1,P1,M5,1,81.0,42.0
0.0,J108,O1,P1,M1,1,25.0,58.0
